Date,Open,Low,High,Close,Volume
"Sep 22, 2016",2170.94,2170.94,2179.99,2177.18,"521,694,000"
"Sep 21, 2016",2144.58,2139.57,2165.11,2163.12,"584,045,000"
"Sep 20, 2016",2145.94,2139.17,2150.8,2139.76,"484,990,000"
"Sep 19, 2016",2143.99,2135.91,2153.61,2139.12,"513,135,000"
"Sep 16, 2016",2146.48,2131.2,2146.48,2139.16,"1,474,359,000"
"Sep 15, 2016",2125.36,2122.36,2151.31,2147.26,"582,039,000"
"Sep 14, 2016",2127.86,2119.9,2141.33,2125.77,"613,057,000"
"Sep 13, 2016",2150.47,2120.27,2150.47,2127.02,"671,922,000"
"Sep 12, 2016",2120.86,2119.12,2163.3,2159.04,"678,673,000"
"Sep 09, 2016",2169.08,2127.81,2169.08,2127.81,"733,227,000"
"Sep 08, 2016",2182.76,2177.49,2184.94,2181.3,"530,082,000"
"Sep 07, 2016",2185.17,2179.07,2187.87,2186.16,"511,720,000"
"Sep 06, 2016",2181.61,2175.1,2186.57,2186.48,"569,188,000"
"Sep 02, 2016",2177.49,2173.59,2184.87,2179.98,"491,982,000"
"Sep 01, 2016",2171.33,2157.09,2173.56,2170.86,"507,264,000"
"Aug 31, 2016",2173.56,2161.35,2173.79,2170.95,"659,162,000"
"Aug 30, 2016",2179.45,2170.41,2182.27,2176.12,"470,170,000"
"Aug 29, 2016",2170.19,2170.19,2183.48,2180.38,"434,407,000"
"Aug 26, 2016",2175.1,2160.39,2187.94,2169.04,"494,425,000"
"Aug 25, 2016",2173.29,2169.74,2179,2172.47,"459,398,000"
"Aug 24, 2016",2185.09,2171.25,2186.66,2175.44,"472,264,000"
"Aug 23, 2016",2187.81,2186.8,2193.42,2186.9,"466,736,000"
"Aug 22, 2016",2181.58,2175.96,2185.15,2182.64,"463,033,000"
"Aug 19, 2016",2184.24,2175.13,2185,2183.87,"580,186,000"
"Aug 18, 2016",2181.9,2180.46,2187.03,2187.02,"510,514,000"
"Aug 17, 2016",2177.84,2168.5,2183.08,2182.22,"499,856,000"
"Aug 16, 2016",2186.24,2178.14,2186.24,2178.15,"484,439,000"
"Aug 15, 2016",2186.08,2186.08,2193.81,2190.15,"441,305,000"
"Aug 12, 2016",2183.74,2179.42,2186.28,2184.05,"432,156,000"
"Aug 11, 2016",2177.97,2177.97,2188.45,2185.79,"464,458,000"
"Aug 10, 2016",2182.81,2172,2183.41,2175.49,"439,573,000"
"Aug 09, 2016",2182.24,2178.61,2187.66,2181.74,"427,986,000"
"Aug 08, 2016",2183.76,2177.85,2185.44,2180.89,"486,958,000"
"Aug 05, 2016",2168.79,2168.79,2182.87,2182.87,"569,849,000"
"Aug 04, 2016",2163.51,2159.07,2168.19,2164.25,"492,388,000"
"Aug 03, 2016",2156.81,2152.56,2163.79,2163.79,"542,285,000"
"Aug 02, 2016",2169.94,2147.58,2170.2,2157.03,"619,382,000"
"Aug 01, 2016",2173.15,2166.21,2178.29,2170.84,"543,777,000"
"Jul 29, 2016",2168.83,2163.49,2177.09,2173.6,"787,086,000"
"Jul 28, 2016",2166.05,2159.74,2172.85,2170.06,"564,543,000"
"Jul 27, 2016",2169.81,2159.07,2174.98,2166.58,"661,630,000"
"Jul 26, 2016",2168.97,2160.18,2173.54,2169.18,"537,572,000"
"Jul 25, 2016",2173.71,2161.95,2173.71,2168.48,"511,374,000"
"Jul 22, 2016",2166.47,2163.24,2175.11,2175.03,"525,935,000"
